День,Час,Топ 5,Частота,Сума частот,Коментар
Monday (16.02),Ранок 08:00,olympics,85,300,"Я думав ,що буде Трамп"
Monday (16.02),Ранок 08:00,trump,72,300,
Monday (16.02),Ранок 08:00,inflation,60,300,
Monday (16.02),Ранок 08:00,iran,45,300,
Monday (16.02),Ранок 08:00,strike,38,300,
Monday (16.02),Обід 13:00,olympics,92,281,Згоден
Monday (16.02),Обід 13:00,gold,65,281,
Monday (16.02),Обід 13:00,nato,50,281,
Monday (16.02),Обід 13:00,economy,44,281,
Monday (16.02),Обід 13:00,iran,30,281,
Monday (16.02),Вечір 19:00,olympics,80,307,"Еееххх,всього 5 місце:("
Monday (16.02),Вечір 19:00,milan,75,307,
Monday (16.02),Вечір 19:00,skating,62,307,
Monday (16.02),Вечір 19:00,protest,50,307,
Monday (16.02),Вечір 19:00,trump,40,307,
Tuesday (17.02),Ранок 08:00,olympics,88,315,+-
Tuesday (17.02),Ранок 08:00,ai,70,315,
Tuesday (17.02),Ранок 08:00,nvidia,65,315,
Tuesday (17.02),Ранок 08:00,trump,50,315,
Tuesday (17.02),Ранок 08:00,iran,42,315,
Tuesday (17.02),Обід 13:00,olympics,95,322,Нудно
Tuesday (17.02),Обід 13:00,medals,72,322,
Tuesday (17.02),Обід 13:00,eu,60,322,
Tuesday (17.02),Обід 13:00,tech,55,322,
Tuesday (17.02),Обід 13:00,trump,40,322,
Tuesday (17.02),Вечір 19:00,olympics,82,320,"А не,це нудно"
Tuesday (17.02),Вечір 19:00,hockey,78,320,
Tuesday (17.02),Вечір 19:00,economy,60,320,
Tuesday (17.02),Вечір 19:00,election,55,320,
Tuesday (17.02),Вечір 19:00,iran,45,320,
Wednesday (18.02),Ранок 08:00,ai,90,355,"ИИ,Гугл - мда..."
Wednesday (18.02),Ранок 08:00,google,85,355,
Wednesday (18.02),Ранок 08:00,olympics,70,355,
Wednesday (18.02),Ранок 08:00,trump,60,355,
Wednesday (18.02),Ранок 08:00,regulation,50,355,
Wednesday (18.02),Обід 13:00,olympics,85,325,+-
Wednesday (18.02),Обід 13:00,skiing,75,325,
Wednesday (18.02),Обід 13:00,inflation,65,325,
Wednesday (18.02),Обід 13:00,nato,55,325,
Wednesday (18.02),Обід 13:00,iran,45,325,
Wednesday (18.02),Вечір 19:00,olympics,90,325,Нууудно
Wednesday (18.02),Вечір 19:00,milan,80,325,
Wednesday (18.02),Вечір 19:00,space,60,325,
Wednesday (18.02),Вечір 19:00,trump,55,325,
Wednesday (18.02),Вечір 19:00,economy,40,325,
Thursday (19.02),Ранок 08:00,olympics,95,355,Нууудно
Thursday (19.02),Ранок 08:00,gold,80,355,
Thursday (19.02),Ранок 08:00,election,70,355,
Thursday (19.02),Ранок 08:00,iran,60,355,
Thursday (19.02),Ранок 08:00,storm,50,355,
Thursday (19.02),Обід 13:00,olympics,85,355,Нууудно
Thursday (19.02),Обід 13:00,weather,80,355,
Thursday (19.02),Обід 13:00,trump,75,355,
Thursday (19.02),Обід 13:00,milan,65,355,
Thursday (19.02),Обід 13:00,rescue,50,355,
Thursday (19.02),Вечір 19:00,olympics,92,362,Нууудно
Thursday (19.02),Вечір 19:00,hockey,85,362,
Thursday (19.02),Вечір 19:00,storm,70,362,
Thursday (19.02),Вечір 19:00,iran,60,362,
Thursday (19.02),Вечір 19:00,tech,55,362,
Friday (20.02),Ранок 08:00,olympics,98,363,Дуже нудно
Friday (20.02),Ранок 08:00,final,85,363,
Friday (20.02),Ранок 08:00,economy,70,363,
Friday (20.02),Ранок 08:00,trump,60,363,
Friday (20.02),Ранок 08:00,bank,50,363,
Friday (20.02),Обід 13:00,olympics,105,390,Нууудно
Friday (20.02),Обід 13:00,medals,90,390,
Friday (20.02),Обід 13:00,milan,75,390,
Friday (20.02),Обід 13:00,eu,65,390,
Friday (20.02),Обід 13:00,iran,55,390,
Friday (20.02),Вечір 19:00,olympics,110,400,Нууудно
Friday (20.02),Вечір 19:00,skating,95,400,
Friday (20.02),Вечір 19:00,election,80,400,
Friday (20.02),Вечір 19:00,protest,65,400,
Friday (20.02),Вечір 19:00,trump,50,400,
Saturday (21.02),Ранок 08:00,olympics,115,425,Нууудно
Saturday (21.02),Ранок 08:00,closing,95,425,
Saturday (21.02),Ранок 08:00,milan,85,425,
Saturday (21.02),Ранок 08:00,gold,70,425,
Saturday (21.02),Ранок 08:00,iran,60,425,
Saturday (21.02),Обід 13:00,olympics,120,440,Нууудно
Saturday (21.02),Обід 13:00,cortina,100,440,
Saturday (21.02),Обід 13:00,hockey,85,440,
Saturday (21.02),Обід 13:00,final,75,440,
Saturday (21.02),Обід 13:00,trump,60,440,
Saturday (21.02),Вечір 19:00,olympics,130,475,Нууудно
Saturday (21.02),Вечір 19:00,closing,110,475,
Saturday (21.02),Вечір 19:00,ceremony,90,475,
Saturday (21.02),Вечір 19:00,milan,80,475,
Saturday (21.02),Вечір 19:00,legacy,65,475,
Sunday (22.02),Ранок 08:00,olympics,140,530,Нууудно
Sunday (22.02),Ранок 08:00,ceremony,120,530,
Sunday (22.02),Ранок 08:00,closing,105,530,
Sunday (22.02),Ранок 08:00,milan,90,530,
Sunday (22.02),Ранок 08:00,trump,75,530,
Sunday (22.02),Обід 13:00,olympics,135,490,Нууудно
Sunday (22.02),Обід 13:00,cortina,115,490,
Sunday (22.02),Обід 13:00,legacy,95,490,
Sunday (22.02),Обід 13:00,global,80,490,
Sunday (22.02),Обід 13:00,iran,65,490,
Sunday (22.02),Вечір 19:00,olympics,150,545,Нууудно
Sunday (22.02),Вечір 19:00,milan,130,545,
Sunday (22.02),Вечір 19:00,ceremony,110,545,
Sunday (22.02),Вечір 19:00,goodbye,85,545,
Sunday (22.02),Вечір 19:00,italy,70,545,
